AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
1.144440,1.269410,-0.256642,0.028711,-0.122367,1.301420,-0.730556,-0.127823,0.358656,1.414360,0.604446,1.689790,0.319823,1.685710,-1.431190,0.068032,0.570775
0.974612,0.985076,-0.322247,0.127547,-0.137966,0.979465,-0.788050,0.009867,0.437995,1.568220,0.769016,1.859750,0.328575,1.658070,-1.381160,0.318079,0.589198
1.068580,0.983065,-0.275291,0.140647,-0.146690,1.113760,-0.760310,-0.053123,0.410836,1.522430,0.824839,1.809930,0.295072,1.679680,-1.471120,0.247550,0.582631
0.993204,0.956150,-0.271773,0.192055,-0.168616,1.150920,-0.792959,0.064811,0.384928,1.482450,0.688877,1.650420,0.416914,1.640970,-1.631550,0.257283,0.532211
0.984996,1.026380,-0.133761,0.283962,-0.131631,1.251930,-0.679681,0.097918,0.367654,1.628310,0.740346,1.812930,0.365174,1.706830,-1.603960,0.307210,0.558144
1.039170,0.947294,-0.192960,0.315244,-0.091890,1.288110,-0.659959,0.063130,0.365544,1.395390,0.776544,1.924760,0.347048,1.687640,-1.705230,0.419338,0.579397
1.145220,1.038700,-0.228710,0.011451,-0.126488,1.274310,-0.812035,0.054470,0.363742,1.453640,0.647667,1.942550,0.412513,1.667650,-1.740030,-0.037456,0.543686
1.131960,1.023840,-0.195906,0.062640,-0.149932,1.263420,-0.822519,0.092615,0.320376,1.489820,0.644804,1.798000,0.338598,1.668080,-1.791950,0.038786,0.545003
1.138360,0.808871,-0.247675,0.067163,-0.116048,1.497440,-0.889712,0.007540,0.326903,1.431360,0.715002,1.826970,0.421788,1.653940,-1.934650,-0.199722,0.513841
0.987849,0.757193,-0.266482,0.202928,-0.120734,1.389980,-0.796965,-0.001856,0.273434,1.415050,0.664037,1.832240,0.281641,1.686410,-1.852870,-0.064684,0.510499
1.066050,0.659705,-0.266133,0.127360,-0.108386,1.312250,-0.790197,0.028371,0.301509,1.376920,0.598232,1.881710,0.215993,1.692890,-1.843790,-0.058174,0.510728
1.108330,0.817816,-0.319197,0.318751,-0.144626,1.318340,-0.875232,-0.078792,0.292604,1.380280,0.742179,1.685710,0.366435,1.655030,-1.617000,-0.154300,0.510009
0.968293,0.772101,-0.332221,0.182275,-0.082645,1.390860,-0.723272,-0.083505,0.410323,1.362300,0.652871,1.499500,0.221723,1.650720,-1.501020,0.033236,0.500877
0.940141,0.753715,-0.315177,0.202614,-0.076285,1.501470,-0.699042,0.019765,0.606057,1.314360,0.475465,1.522230,0.230902,1.672570,-1.519580,0.058092,0.479961
0.896639,0.676642,-0.261718,0.268234,0.197707,1.750850,-0.591383,0.333094,1.082040,1.439500,0.014838,1.385700,0.174701,1.644380,-1.027130,0.446076,0.544250
0.909832,0.706115,-0.175739,0.166794,0.499434,1.991670,-0.524681,0.326261,1.479220,1.735030,0.156407,0.516301,-0.125628,1.424070,-0.232997,0.320314,0.492583
0.650666,0.556354,-0.254478,0.220350,0.827470,1.718740,-0.648959,0.854788,2.035690,1.879740,-0.023796,0.323950,-0.195337,1.336550,0.518509,0.104721,0.644779
0.857925,0.580650,-0.201477,0.208231,1.218640,2.289020,-0.608183,1.211820,2.540620,1.707800,-0.008663,0.233219,-0.836946,0.750523,1.428240,0.359496,0.581331
0.964495,0.665925,0.032813,0.338498,1.454410,2.594680,-0.708507,1.285960,2.705580,1.502770,0.177585,-0.179064,-0.977869,0.512157,2.158490,0.787779,0.665527
0.806213,0.786984,0.145351,0.064512,1.857310,2.763700,-0.543105,1.622980,3.094720,1.932670,0.248410,-0.002135,-1.065060,0.463069,2.273980,0.999149,0.710103
0.670651,0.734946,0.134956,0.183606,2.069130,2.961990,-0.498039,1.785700,3.122060,1.914430,0.308206,0.195950,-1.064870,0.512235,2.079090,1.098720,0.667989
0.755556,0.889535,0.115307,0.095933,2.283340,3.238670,-0.489051,1.722960,3.199420,2.128350,0.441776,0.071209,-0.866116,0.521399,2.188980,0.584405,0.774574
0.628450,0.939336,0.036904,0.114936,2.356270,3.419320,-0.391360,1.754820,3.296410,2.130450,0.579743,0.478585,-0.965001,0.563771,2.174700,0.639226,0.833198
0.586108,0.817154,-0.090672,0.283663,2.474040,3.554750,-0.374674,1.903640,3.342580,2.337930,0.545889,0.404314,-0.706351,0.534306,1.945320,0.879937,0.915293
0.609130,0.655228,-0.034544,0.365163,2.505170,3.464050,-0.360663,1.842550,3.354430,2.417330,0.605679,0.509617,-0.816629,0.496105,1.857470,1.147680,0.912339
0.474632,0.567989,0.010229,0.338510,2.550070,3.363730,-0.333237,1.942880,3.393610,2.577190,0.309100,0.354392,-0.562961,0.535347,1.959960,0.710807,0.928078
0.624807,0.611304,-0.172046,0.420506,2.554970,3.566230,-0.419096,1.959290,3.370880,2.607280,0.205191,0.286895,-0.683302,0.544193,1.919220,0.793478,0.977328
0.477011,0.552569,-0.086208,0.505864,2.591330,3.392930,-0.429923,1.944480,3.450990,2.691410,0.297940,0.183320,-0.701629,0.531511,1.908090,0.714700,0.990780
0.524086,0.539511,-0.208017,0.495530,2.612080,3.418630,-0.413690,2.033690,3.420140,2.541020,0.440300,0.435450,-0.825937,0.504271,1.860630,0.652195,0.916710
