AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
5.459270,4.315260,1.841680,2.587700,2.428830,-0.577026,0.111405,0.050025,1.016310,-0.450516,0.409142,3.774930,2.201470,0.193202,1.269090,1.242820,0.414724
6.769340,4.920140,0.266727,2.507420,1.001170,-0.894424,-0.677376,-1.159950,0.301366,-0.100880,0.974990,2.754780,2.141010,0.929818,1.414570,1.201690,1.735840
6.256090,4.252890,0.032190,1.321680,0.635606,-0.307022,-0.267947,-1.118940,0.288247,0.096690,1.379220,2.609650,1.877220,0.521311,1.314290,0.991117,1.521970
2.194440,1.452980,0.873135,1.641030,0.575954,-1.065170,1.027820,-0.489805,0.233437,0.996957,1.235440,2.734180,1.647360,1.366210,0.633085,0.938995,0.247908
1.378650,0.563286,1.002250,1.049910,0.556479,-0.750667,1.051530,-0.422967,0.223208,0.918533,1.126440,2.889290,1.495200,1.505870,0.666724,1.044880,0.239873
0.797085,0.444335,1.236140,0.914374,0.572019,-0.877282,1.305290,-0.420863,0.075197,0.828485,0.877711,3.234250,1.659600,1.665210,1.020680,1.241520,0.294285
0.606540,0.455914,1.266270,0.627647,0.558788,-0.645410,1.278400,-0.393943,0.075583,0.851492,0.972494,2.795180,1.870590,1.773170,0.575795,0.868227,0.332517
0.415377,0.393830,1.449950,0.365360,0.528826,-0.662640,1.303360,-0.508329,0.051223,0.927990,0.714938,2.818430,1.952710,1.837990,0.536700,1.127400,0.331005
0.200340,0.035731,1.751920,0.631961,0.517686,-1.114340,1.252620,-0.564437,0.015563,0.985149,0.990655,3.182450,1.834180,1.901140,0.650294,1.098130,0.415824
0.128429,0.129673,1.268740,0.605085,0.463148,-1.118230,1.281790,-0.491808,-0.022600,1.219970,0.692609,3.162310,1.722300,2.058240,0.435052,1.209770,0.380192
-0.154451,0.237211,1.445640,0.816881,0.426259,-0.545458,1.253150,-0.490689,-0.003656,1.177500,0.773285,2.958770,1.602050,2.054320,0.279581,1.302830,0.362693
-0.132069,-0.109414,1.246610,0.826129,0.341838,-0.672530,1.276270,-0.392210,0.021960,1.289480,1.032990,2.918130,1.535980,2.022130,0.366271,1.307170,0.398768
-0.148793,-0.039433,1.316730,0.495639,0.326841,-0.588585,1.206140,-0.439790,0.037376,1.323930,0.861027,2.919150,1.606510,2.026280,0.305978,1.320840,0.431105
-0.253194,-0.180459,1.433220,0.533296,0.446617,-0.594613,1.371140,-0.359580,0.117817,1.232530,0.372771,2.531180,1.604020,1.909500,0.271649,1.171870,0.479833
-0.115349,-0.158079,1.554290,0.539718,0.486976,-0.344032,1.508550,-0.162033,0.339034,1.403680,0.358006,2.325130,1.643380,2.049110,0.410212,1.227030,0.467410
-0.223563,-0.277289,1.730920,0.436660,0.450823,-0.557449,1.345780,0.062356,0.464079,1.627160,0.021854,2.210150,1.425170,2.130010,0.365644,0.791066,0.579222
-0.445252,-0.346531,1.776150,0.392161,0.473476,-0.605464,1.383940,-0.005437,0.671493,1.778010,0.056965,2.060880,1.505170,2.195390,0.185250,0.674560,0.596756
-0.607873,-0.147443,1.540820,0.545723,0.473103,-0.428286,1.441640,0.099317,0.829915,1.676430,-0.074224,1.731840,1.419460,2.220820,0.072880,0.759288,0.609832
-0.675932,-0.556715,1.982330,0.419646,0.647629,-0.076250,1.495290,0.100399,1.007670,1.810400,0.026273,1.734560,1.398650,2.266370,0.275028,1.220100,0.826602
-0.485900,-0.377779,1.945330,0.505363,0.661901,0.011792,1.450040,0.163976,1.129640,1.827760,-0.289534,1.779050,1.184420,2.150480,0.230754,1.149610,0.840005
-0.519584,-0.620721,2.010040,0.305742,0.621125,-0.101285,1.302830,0.269434,1.276890,1.744100,-0.348117,1.761520,1.482740,2.165960,0.370963,1.133330,0.810986
-0.591293,-0.344414,1.946650,0.340090,0.752380,0.042603,1.456500,0.441251,1.267840,1.819520,-0.406810,1.870100,1.319910,2.191810,0.383187,0.948403,0.848653
-0.407467,-0.306322,2.065080,0.528159,0.851931,0.256916,1.339800,0.581021,1.367490,1.925290,-0.346622,1.674010,1.557720,2.172580,0.435537,1.238700,0.899954
-0.375120,-0.376822,1.888660,0.319783,0.830217,0.091070,1.289110,0.442885,1.362460,1.772750,-0.426988,1.747220,1.589510,2.176340,0.311054,0.930476,0.864629
-0.380284,-0.453825,1.993080,0.277771,0.816980,0.391605,1.335060,0.394328,1.371580,1.812100,-0.274786,2.006280,1.351900,2.187520,0.307891,1.043630,0.969763
-0.308790,-0.536802,1.919320,0.203330,0.751805,0.056721,1.276150,0.468896,1.361660,1.801030,-0.214087,1.894030,1.373840,2.222020,0.354242,1.039420,0.962613
-0.416561,-0.515604,2.144250,0.147306,0.852812,0.429223,1.354710,0.629401,1.494460,1.784500,-0.415463,1.908690,1.295370,2.178590,0.489170,0.951512,1.054350
-0.579874,-0.604017,2.150650,0.058512,0.816453,0.294299,1.348760,0.497916,1.504540,1.688190,-0.458098,1.892120,1.700770,2.116310,0.174422,0.970892,1.088310
-0.427125,-0.652372,2.236200,-0.185469,0.901775,0.355450,1.368420,0.558885,1.589650,1.826100,-0.426994,1.900270,1.347990,2.202090,0.298020,0.875287,1.145370
-0.466213,-0.565533,2.490150,-0.226302,0.936817,0.232151,1.352090,0.677800,1.696180,1.805360,-0.377389,1.978340,1.384980,2.179950,0.392811,0.946500,1.184080
-0.809403,-1.074690,2.222770,-0.185091,1.053040,0.518962,1.497980,0.751381,1.770170,1.672480,-0.200407,1.940610,1.373240,1.974630,0.401965,1.114170,1.166170
-0.709419,-0.683664,2.263460,-0.166589,0.919169,0.243391,1.527710,0.697288,1.739090,2.014270,-0.648582,1.786020,1.413060,2.078460,0.213962,0.929693,1.271630
-0.834133,-1.048160,2.185110,-0.351292,0.979499,0.509303,1.548440,0.772848,1.731770,1.924540,-0.389883,1.940410,1.436930,1.958210,0.300039,0.896095,1.287920
-0.915758,-1.109310,2.339800,-0.223743,0.977125,0.586696,1.691190,0.743382,1.813390,2.103840,-0.330591,1.707990,1.378180,1.859410,0.399602,0.493262,1.387630
-0.728221,-0.869167,2.287430,0.240872,1.005890,1.232500,1.792540,0.478817,1.651440,1.804940,-0.655493,1.745580,1.205960,1.284210,0.480302,0.576502,1.523150
-0.856857,-0.895729,2.197050,0.331405,1.167950,1.036910,1.817130,0.554227,2.076820,1.744610,-0.494392,1.215010,1.071930,0.166694,1.918810,0.698334,1.535970
-0.914346,-1.008170,2.367950,0.112695,1.482370,0.899438,0.935921,0.923335,1.987580,2.189210,-0.151670,1.405280,1.468620,0.354489,1.962030,0.571885,1.297290
-0.746337,-0.583138,2.282610,0.350712,1.484670,0.616831,0.705325,0.776312,1.685320,2.327230,-0.266152,1.360270,1.824880,1.688310,1.518910,0.616930,1.398140
-1.295510,-0.865102,1.921030,0.456515,1.402070,1.306690,0.372329,0.476237,1.685780,2.663760,-0.649509,1.480090,2.456960,3.354870,0.350105,0.621305,1.608500
0.599410,0.239689,1.875580,0.935707,1.671900,1.332400,0.076190,0.726690,2.354760,2.646330,-0.027879,1.943770,1.592180,2.231300,-1.192630,-0.832076,1.228550
0.651188,0.152161,1.630610,0.594361,1.893080,1.405330,0.227933,1.145800,2.624340,2.712240,0.026179,1.926610,1.777840,1.291580,-0.885364,-1.154110,1.176290
1.005350,0.281318,2.000160,0.717705,1.985680,1.712990,0.282464,1.250910,2.704180,2.564270,-0.156678,1.586980,1.594010,1.090000,-1.270550,-1.281530,1.179320
