AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0.009851,0.011684,0.010471,0.030118,0.011514,-0.028289,0.018111,0.026704,-0.006762,0.012211,-0.012207,-0.004361,0.002880,0.013169,-0.028765,-0.063924,-0.010199
0.021342,0.021701,0.009769,0.037494,0.018057,-0.032482,0.025925,0.042770,-0.006875,0.009337,-0.003198,-0.006647,0.005305,0.009376,-0.031503,-0.071171,-0.011724
0.030129,0.028447,0.017069,0.042701,0.022101,-0.027727,0.030424,0.053041,-0.004598,0.006238,0.005164,-0.013163,0.006960,0.005594,-0.030962,-0.073629,-0.013630
0.035166,0.036746,0.021988,0.043415,0.022575,-0.028896,0.033971,0.063626,-0.002998,0.003513,0.020357,-0.023701,0.007323,0.001860,-0.023146,-0.067778,-0.016727
0.040955,0.043148,0.029319,0.039637,0.020817,-0.027369,0.032808,0.066623,-0.000754,0.000411,0.032323,-0.030091,-0.001565,-0.000721,-0.008992,-0.047044,-0.021408
0.034739,0.051106,0.032280,0.025897,0.018717,-0.023286,0.027940,0.053256,0.002134,-0.007024,0.042125,-0.025654,-0.009669,-0.003587,0.006428,-0.013945,-0.022617
0.022050,0.054408,0.037219,0.009032,0.019213,-0.023632,0.019366,0.034495,0.000828,-0.020467,0.044087,-0.021677,-0.016231,-0.006842,0.016104,0.004418,-0.019808
0.008156,0.056243,0.044563,-0.008974,0.024696,-0.025002,0.017020,0.017649,0.004180,-0.028550,0.041618,-0.016705,-0.015111,-0.010968,0.019568,0.017949,-0.011617
-0.001375,0.037448,0.048118,-0.044805,0.033699,-0.019697,0.016457,0.007397,0.002161,-0.029233,0.031511,-0.006821,-0.010116,-0.008278,0.019515,0.003162,0.005181
0.002081,0.003767,0.057362,-0.071230,0.055974,0.032857,0.019975,0.010240,0.008399,-0.023923,0.015679,0.002508,0.006240,-0.007285,0.016325,-0.013314,0.058656
0.012071,-0.019249,0.065056,-0.089264,0.087509,0.101364,0.023261,0.028222,0.012349,-0.021347,0.007790,-0.003303,0.021220,-0.022775,0.005355,-0.029747,0.124122
0.042677,-0.017692,0.072150,-0.095454,0.106845,0.158511,0.017430,0.063216,0.030362,-0.014095,-0.001543,-0.011287,0.013459,-0.060154,-0.014757,-0.035362,0.227313
0.090817,0.007672,0.049794,-0.084541,0.112609,0.187848,0.006929,0.100314,0.054462,-0.004878,0.003995,-0.027037,0.001490,-0.098637,-0.028308,-0.044013,0.302078
0.157932,0.041499,0.030212,-0.035038,0.101668,0.158697,-0.011238,0.130399,0.072136,0.001597,0.009929,-0.042056,-0.020084,-0.130161,-0.030894,-0.042652,0.347381
0.196129,0.074209,0.012758,0.022130,0.081695,0.102623,-0.026980,0.136655,0.082712,0.005518,0.028960,-0.047460,-0.042940,-0.145818,-0.030731,-0.034780,0.349562
0.215067,0.099575,0.003195,0.076846,0.062209,0.034535,-0.038995,0.132921,0.087860,0.014354,0.043776,-0.057695,-0.061092,-0.148700,-0.026913,-0.029040,0.318638
0.209247,0.118016,-0.000918,0.133935,0.048947,-0.039380,-0.028764,0.122072,0.083291,0.023324,0.054264,-0.059720,-0.060945,-0.135774,-0.021482,-0.015421,0.254648
0.174492,0.112064,-0.003858,0.135979,0.034699,-0.091989,-0.012278,0.098067,0.066558,0.030742,0.058304,-0.052513,-0.052242,-0.105400,-0.013469,-0.016269,0.168966
0.126777,0.081034,0.004589,0.121079,0.036604,-0.096840,0.023046,0.077444,0.042387,0.048459,0.055333,-0.040269,-0.022810,-0.062812,-0.007252,-0.016360,0.100051
0.056781,0.029805,0.052736,0.092584,0.053191,-0.072578,0.069515,0.054842,0.010492,0.060859,0.052273,-0.033155,0.017536,-0.020004,-0.004132,-0.023913,0.038012
-0.000998,-0.004216,0.094734,0.051632,0.064724,-0.036863,0.104163,0.053516,-0.009796,0.072636,0.041585,-0.027427,0.036645,0.000872,-0.002638,-0.017672,0.028155
-0.032997,-0.029242,0.106399,0.007118,0.070175,0.020536,0.126304,0.052185,-0.016796,0.077969,0.033233,-0.020674,0.045619,0.007433,0.001285,-0.012712,0.022534
-0.032575,-0.033365,0.111658,-0.015526,0.064923,0.048350,0.129981,0.058387,-0.016685,0.073237,0.020916,-0.014858,0.046854,-0.000943,0.007406,-0.003541,0.027430
-0.009992,-0.033519,0.118333,-0.023705,0.051522,0.054499,0.127627,0.060439,-0.013667,0.068751,0.027450,-0.006654,0.038229,-0.015364,0.012140,-0.007214,0.025694
0.018289,-0.028868,0.118934,-0.027620,0.041406,0.069028,0.112801,0.060386,-0.007040,0.066274,0.030883,0.002243,0.024542,-0.032324,0.007045,-0.020184,0.023609
0.045166,-0.021832,0.111160,-0.024022,0.036569,0.073175,0.098125,0.057698,0.000807,0.058329,0.032485,0.012157,0.019965,-0.049673,-0.003351,-0.030768,0.017919
0.060775,-0.008713,0.093271,-0.024053,0.034336,0.086606,0.074140,0.054431,0.005052,0.038891,0.030066,0.020371,0.013621,-0.060762,-0.011592,-0.035545,0.013850
0.068463,0.000106,0.064931,-0.023686,0.034553,0.097380,0.055386,0.051813,0.006887,0.028481,0.024174,0.024466,0.009202,-0.064531,-0.012594,-0.036729,0.010194
0.052364,0.011659,0.063148,-0.014400,0.035554,0.074301,0.046959,0.044846,0.004784,0.016243,0.025162,0.029297,0.002633,-0.064015,-0.013801,-0.038409,0.001964
0.024524,0.016311,0.054762,-0.004322,0.034526,0.060471,0.035925,0.039466,0.002446,0.008211,0.019197,0.028013,-0.002564,-0.055081,-0.000411,-0.035863,-0.007074
-0.001473,0.008212,0.045722,0.006549,0.031829,0.053547,0.024832,0.029114,-0.001368,-0.003628,0.003090,0.022924,-0.013959,-0.038625,0.015162,-0.019403,-0.023207
-0.035100,-0.002484,0.031467,0.051710,0.025038,0.047243,0.000975,0.009458,-0.005692,-0.018501,-0.012884,0.008551,-0.023467,-0.009586,0.024926,0.000897,-0.042274
-0.044183,-0.021001,0.001701,0.099366,0.000215,0.005476,-0.035422,-0.015834,-0.020076,-0.036470,-0.015907,-0.008155,-0.048063,0.026251,0.034160,0.010963,-0.068498
-0.067843,-0.032907,-0.019919,0.132442,-0.017403,-0.013220,-0.060715,-0.035861,-0.030849,-0.058146,-0.017748,-0.005804,-0.071955,0.068234,0.038317,0.024543,-0.090106
-0.112394,-0.040955,-0.045139,0.087726,-0.020080,0.003042,-0.069524,-0.051932,-0.045158,-0.072155,-0.027314,0.004377,-0.081490,0.097510,0.031093,0.035245,-0.129649
-0.149720,-0.064572,-0.063727,0.030533,-0.017100,0.019426,-0.070981,-0.057880,-0.055383,-0.085060,-0.038448,0.020235,-0.077872,0.113719,0.016566,0.038140,-0.177808
-0.178763,-0.103361,-0.074716,-0.024677,-0.014916,0.029562,-0.052629,-0.067747,-0.061166,-0.087406,-0.045304,0.038757,-0.057698,0.119517,0.006305,0.036962,-0.239002
-0.195678,-0.117591,-0.085433,-0.069904,-0.014931,0.003027,-0.028962,-0.067332,-0.060760,-0.082873,-0.048435,0.053666,-0.039547,0.108778,-0.003748,0.042032,-0.281144
-0.198207,-0.113982,-0.085614,-0.111372,-0.019665,-0.003590,-0.002275,-0.073976,-0.053809,-0.070286,-0.047611,0.060361,-0.009498,0.086809,-0.001123,0.036418,-0.293444
-0.177212,-0.098623,-0.069428,-0.152041,-0.017989,-0.004766,0.025045,-0.069523,-0.040261,-0.050393,-0.042858,0.063442,0.015022,0.061206,0.001740,0.039493,-0.281142
-0.144749,-0.097071,-0.065254,-0.145505,-0.014641,-0.008605,0.040301,-0.069375,-0.021131,-0.016593,-0.035174,0.049680,0.039079,0.042367,-0.000764,0.047517,-0.244943
-0.102266,-0.097578,-0.073070,-0.105211,-0.022957,-0.039282,0.020049,-0.072669,-0.010874,0.003388,-0.025259,0.029295,0.043673,0.043442,0.008343,0.048011,-0.192948
-0.066786,-0.084554,-0.073781,-0.054736,-0.034110,-0.078796,-0.005264,-0.069422,0.007619,0.011686,-0.010938,0.011191,0.036101,0.056256,0.029359,0.041974,-0.121049
-0.045040,-0.049441,-0.073771,-0.053564,-0.027877,-0.088748,-0.028077,-0.058374,0.022403,-0.001438,-0.007050,-0.004639,0.021942,0.062281,0.057487,0.032355,-0.059754
-0.038154,-0.031861,-0.065148,-0.052803,-0.020424,-0.080989,-0.048715,-0.039192,0.036670,-0.022436,-0.011263,-0.014184,0.004046,0.058649,0.080772,0.018583,-0.014378
-0.032973,-0.035588,-0.047658,-0.042900,-0.009728,-0.068134,-0.049124,-0.028056,0.042746,-0.041067,-0.014307,-0.021892,-0.007787,0.050608,0.089820,-0.006065,-0.005038
-0.029114,-0.046559,-0.025673,-0.034276,-0.002905,-0.064896,-0.047536,-0.015209,0.045228,-0.054871,-0.017151,-0.022865,-0.019393,0.024576,0.072531,-0.029427,-0.005422
-0.022973,-0.045076,-0.002419,-0.035659,-0.004974,-0.051431,-0.040931,-0.019084,0.043699,-0.067802,-0.016486,-0.031712,-0.019278,-0.001115,0.043876,-0.054230,-0.008012
-0.013137,-0.027812,0.019004,-0.032819,-0.006551,-0.035418,-0.037229,-0.021112,0.036620,-0.069901,-0.008355,-0.031420,-0.016978,-0.020584,0.011660,-0.067747,-0.006385
-0.001383,-0.032117,0.020752,-0.025665,-0.008456,-0.020466,-0.029500,-0.024327,0.034607,-0.062953,0.003127,-0.033610,-0.017610,-0.031881,-0.023294,-0.057075,-0.004607
-0.006505,-0.041911,0.021146,-0.007855,-0.009683,0.009001,-0.028382,-0.025169,0.029328,-0.052125,0.009625,-0.025966,-0.018223,-0.023805,-0.042162,-0.036668,-0.004738
-0.020976,-0.054349,0.009330,0.005785,-0.014379,0.025319,-0.026213,-0.025636,0.034487,-0.032662,0.015304,-0.017024,-0.018732,-0.005376,-0.051166,-0.021796,-0.007711
-0.026170,-0.051853,-0.009457,0.015848,-0.014513,0.030611,-0.025569,-0.029793,0.042847,-0.024293,0.014880,-0.006810,-0.018210,0.015853,-0.054060,-0.005680,-0.009320
-0.028590,-0.047552,-0.021004,0.027654,-0.015895,0.023684,-0.025347,-0.028903,0.048711,-0.015480,0.006337,0.003969,-0.019315,0.032615,-0.043792,0.007563,-0.005667
-0.021917,-0.022237,-0.036995,0.042349,-0.010683,0.010361,-0.023149,-0.023498,0.054073,-0.005595,-0.004034,0.005381,-0.015922,0.045751,-0.019001,0.013765,0.001050
-0.015791,-0.004253,-0.048789,0.053310,-0.004282,-0.014154,-0.023703,-0.015985,0.057941,0.007933,-0.008810,0.004199,-0.011799,0.045053,-0.004302,0.012088,0.004732
-0.010353,0.008279,-0.053075,0.043372,0.004708,-0.033928,-0.020768,0.007476,0.070882,0.021399,-0.008831,-0.009726,-0.013961,0.040220,0.009330,0.005182,0.009287
-0.000203,0.037187,-0.052332,0.018525,0.019427,-0.050114,-0.025693,0.029448,0.083799,0.041781,-0.011393,-0.033720,-0.014806,0.037413,0.038102,-0.003359,0.025468
