AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
-0.000058,0.002653,0.002024,0.001977,0.003506,-0.001322,0.002928,0.002310,0.002350,-0.000156,0.000822,0.000002,0.001657,0.003432,0.001151,0.002987,0.000531
0.000852,0.004744,0.001080,0.000504,0.005668,-0.002475,0.003203,0.003392,0.003288,0.000251,-0.000007,0.000973,0.003787,0.006874,0.001034,0.004435,0.000764
0.002465,0.005644,0.000012,-0.000486,0.007003,-0.003211,0.001556,0.003352,0.003903,0.001623,-0.001415,0.002923,0.005997,0.009841,0.000489,0.005536,0.000912
0.004140,0.005317,-0.000922,-0.003487,0.007034,-0.003433,0.000065,0.002177,0.003973,0.003809,-0.004487,0.005126,0.007766,0.011917,0.000069,0.004020,0.001154
0.005825,0.003880,-0.002945,-0.007623,0.006017,-0.001519,-0.000939,0.000525,0.003220,0.006329,-0.007836,0.006453,0.008294,0.012668,-0.000055,0.000831,0.001418
0.007632,0.001724,-0.005053,-0.011642,0.004902,0.000170,-0.004039,-0.000102,0.001921,0.008460,-0.009345,0.005033,0.006973,0.011968,-0.000729,-0.000121,0.001603
0.007591,0.000088,-0.005034,-0.013324,0.004054,0.003729,-0.007002,-0.001897,0.000921,0.008935,-0.007041,0.001347,0.003640,0.009927,-0.001430,-0.001100,0.001644
0.006276,-0.000665,-0.003254,-0.011187,0.003797,0.009667,-0.008789,-0.003857,0.000425,0.007207,-0.003756,-0.000146,0.000219,0.006865,-0.001409,-0.001049,0.001171
0.004446,-0.002702,-0.001069,-0.005319,0.003604,0.013877,-0.009121,-0.002945,0.000359,0.003703,-0.001052,-0.002490,-0.001283,0.003738,-0.000468,-0.000105,0.000350
0.002947,-0.001496,0.000016,-0.000387,0.003669,0.015398,-0.007615,-0.000351,0.000820,0.000684,0.000004,-0.002525,-0.004771,0.001289,0.000018,0.000310,-0.000093
0.002464,-0.000016,0.002008,0.002119,0.004809,0.015322,-0.004250,0.001094,0.001899,-0.000340,0.001484,-0.000474,-0.004771,0.000008,0.000653,0.002294,-0.000991
0.001495,0.000755,0.004458,0.007705,0.005311,0.014189,-0.001070,0.004885,0.003312,-0.002838,0.002715,0.000273,-0.002650,-0.001170,0.001471,0.005604,-0.002487
0.000447,0.002805,0.004864,0.011051,0.004940,0.012288,0.000127,0.008561,0.004821,-0.004678,0.001197,0.003373,-0.000059,-0.003229,0.002187,0.005111,-0.003444
-0.000102,0.005020,0.004177,0.012260,0.003986,0.010137,0.002007,0.010680,0.005987,-0.005080,-0.000127,0.009050,0.001716,-0.004924,0.002916,0.001251,-0.003228
-0.000803,0.006622,0.002423,0.011073,0.003152,0.008808,0.003782,0.010372,0.006221,-0.005117,-0.001793,0.011966,0.005988,-0.005802,0.002543,-0.000631,-0.002065
-0.001803,0.006716,0.000613,0.007692,0.002532,0.007129,0.004084,0.007603,0.005831,-0.004907,-0.001431,0.009991,0.009323,-0.005775,0.001641,-0.005188,-0.000784
-0.002916,0.005418,-0.000089,0.003543,0.002476,0.004802,0.003605,0.003106,0.004426,-0.004885,-0.000618,0.005008,0.009069,-0.005227,0.000396,-0.008481,-0.000034
-0.004365,0.001755,-0.001677,0.000107,0.002425,0.000486,0.002386,0.000234,0.001862,-0.005107,-0.000075,0.000482,0.005603,-0.003969,0.000072,-0.008434,0.000361
-0.005564,-0.000000,-0.003900,-0.001726,0.002129,-0.001945,0.001073,-0.000761,0.000241,-0.005875,0.000210,-0.000679,0.000719,-0.002200,0.000015,-0.005968,0.001104
-0.006046,-0.001551,-0.003900,-0.005025,0.001401,-0.008189,0.000629,-0.001938,-0.000170,-0.006842,0.001962,-0.003429,-0.000687,-0.000617,0.000003,-0.003685,0.001096
-0.005004,-0.004659,-0.001957,-0.006923,0.000590,-0.014829,0.000709,-0.000611,-0.001388,-0.006004,0.004843,-0.006221,-0.004909,0.000059,0.000002,-0.001705,0.000642
-0.002319,-0.004823,-0.000267,-0.007859,0.000062,-0.018628,0.001080,0.000020,-0.002326,-0.002963,0.006465,-0.007365,-0.007707,0.001091,-0.000058,-0.000503,0.000457
-0.000015,-0.001830,0.000464,-0.006914,-0.000161,-0.018927,0.001492,0.001073,-0.001722,-0.000059,0.005775,-0.004424,-0.007464,0.002425,-0.000002,-0.000049,0.000630
