AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0.000788,0.001953,-0.001101,0.004973,0.020433,0.014165,0.002060,0.020174,0.018169,0.016234,0.006830,-0.035454,0.001807,-0.028758,0.043184,0.009105,-0.002313
0.000211,0.000660,-0.002776,0.005002,0.023548,0.015749,0.002728,0.023199,0.022454,0.019685,0.008750,-0.037549,0.003682,-0.028450,0.045622,0.006455,-0.002652
-0.001125,-0.001050,-0.004326,0.005598,0.027307,0.017369,0.002931,0.025950,0.027708,0.023004,0.012325,-0.037665,0.005433,-0.027788,0.047541,0.003181,-0.002950
-0.003289,-0.002626,-0.005964,0.004636,0.030914,0.019331,0.003058,0.028694,0.032955,0.026224,0.015845,-0.037122,0.005916,-0.026897,0.048941,-0.001926,-0.003133
-0.005441,-0.004069,-0.007501,0.004857,0.034860,0.022606,0.003161,0.031123,0.038204,0.029293,0.019003,-0.036526,0.006341,-0.025676,0.049101,-0.009025,-0.003281
-0.007405,-0.005171,-0.008895,0.005000,0.038812,0.025471,0.004514,0.034950,0.042803,0.033346,0.020209,-0.036483,0.006031,-0.023288,0.048258,-0.015614,-0.003822
-0.008956,-0.004273,-0.009311,0.005954,0.043020,0.029327,0.005745,0.038199,0.046753,0.038264,0.021142,-0.036002,0.005738,-0.018110,0.043817,-0.020441,-0.004315
-0.010337,-0.003402,-0.009607,0.006761,0.046614,0.032666,0.006969,0.040871,0.050349,0.042865,0.021874,-0.034749,0.005628,-0.012670,0.039199,-0.024690,-0.004738
-0.011923,-0.002572,-0.009868,0.006764,0.050637,0.035489,0.008300,0.043158,0.053895,0.046903,0.022538,-0.032736,0.005523,-0.007307,0.035204,-0.028699,-0.004653
-0.013309,-0.002391,-0.010008,0.006670,0.054140,0.037728,0.009531,0.045130,0.056863,0.050317,0.022951,-0.030234,0.005417,-0.002009,0.031063,-0.031553,-0.004237
-0.014497,-0.002190,-0.009144,0.007018,0.056861,0.039213,0.010608,0.046488,0.059719,0.053589,0.022779,-0.027355,0.005317,0.003209,0.026676,-0.033851,-0.003808
-0.015230,-0.001149,-0.007995,0.007227,0.058846,0.040206,0.011532,0.047502,0.062094,0.056277,0.021966,-0.024016,0.005550,0.008380,0.022043,-0.035807,-0.003365
