AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0.000738,-0.003590,0.003955,-0.001565,0.000033,-0.004728,0.001321,0.001509,0.001977,0.000262,0.001611,-0.001233,-0.000747,0.002097,0.006031,0.001227,-0.000492
0.000034,-0.006153,0.005743,-0.002795,0.000399,-0.004654,0.001707,0.003358,0.003135,0.002981,0.002181,-0.001428,0.000910,0.005625,0.010853,0.005589,0.000512
-0.001261,-0.008480,0.006470,-0.004161,0.000708,-0.003558,0.001523,0.004857,0.003978,0.006690,0.001904,-0.001435,0.002148,0.008002,0.015293,0.009378,0.001592
-0.002791,-0.010583,0.006055,-0.005370,0.000915,-0.001498,0.000704,0.005817,0.004317,0.010374,0.001507,-0.001207,0.003032,0.009502,0.018500,0.012465,0.002778
-0.003758,-0.011623,0.004282,-0.006010,0.001020,0.001535,-0.000556,0.006210,0.004067,0.013221,0.001229,-0.000728,0.003722,0.010366,0.019257,0.015319,0.004082
-0.003348,-0.010401,0.001515,-0.006108,0.000883,0.005640,-0.002140,0.005755,0.003625,0.014353,0.001326,0.000017,0.004546,0.010745,0.016350,0.017361,0.005218
-0.000317,-0.006426,-0.002038,-0.005263,0.000280,0.008615,-0.003763,0.004446,0.002666,0.012613,0.001658,0.000457,0.005254,0.010690,0.010767,0.017380,0.005562
0.004583,0.000255,-0.005945,-0.002454,-0.000793,0.009520,-0.005603,0.002168,0.001450,0.008576,0.002143,0.000391,0.004092,0.009995,0.003743,0.015270,0.005318
0.008037,0.006168,-0.009352,0.000697,-0.001657,0.008390,-0.006433,-0.000401,0.000492,0.002990,0.002383,-0.000591,0.001793,0.008708,-0.003982,0.011201,0.004170
0.010055,0.011785,-0.011225,0.004105,-0.001948,0.005973,-0.005908,-0.001600,0.000209,-0.002614,0.002382,-0.001732,0.001201,0.008128,-0.009660,0.006993,0.002551
0.011560,0.015866,-0.009936,0.006623,-0.001665,0.002930,-0.004129,-0.001591,0.000220,-0.006309,0.002174,-0.002385,0.002670,0.009153,-0.011814,0.004044,0.001169
0.011099,0.018652,-0.007159,0.007915,-0.000741,-0.000381,-0.001630,-0.000868,0.000234,-0.007836,0.000986,-0.002467,0.003908,0.008791,-0.010706,0.000471,-0.000153
0.008359,0.018865,-0.003304,0.007916,0.000461,-0.003592,0.000760,0.000115,0.000085,-0.007491,-0.000751,-0.001832,0.004451,0.007159,-0.006879,-0.002751,-0.001179
0.003790,0.016366,0.001123,0.006899,0.002069,-0.005834,0.003146,0.001400,-0.000526,-0.005669,-0.002058,-0.000312,0.004173,0.004533,-0.002080,-0.003580,-0.001724
-0.001157,0.012653,0.005721,0.004284,0.003777,-0.005331,0.005212,0.002187,-0.000698,-0.003114,-0.002984,0.001983,0.003833,0.001155,0.001039,-0.002395,-0.001754
-0.004611,0.008210,0.008665,0.000613,0.005043,-0.002001,0.006542,0.002448,-0.000752,-0.000632,-0.003612,0.004050,0.003842,-0.001616,0.002219,0.000581,-0.001203
-0.006443,0.003491,0.008330,-0.001724,0.005425,0.001823,0.006097,0.001812,-0.000610,0.000788,-0.003637,0.005125,0.002216,-0.003833,0.001993,0.003873,-0.000072
-0.008171,-0.002407,0.005002,-0.002981,0.004641,0.004933,0.004424,0.000312,-0.000524,0.000916,-0.003614,0.003770,-0.001224,-0.005783,0.000274,0.006597,0.000951
-0.009305,-0.007656,0.000458,-0.002955,0.003133,0.007198,0.002346,-0.001091,-0.000461,0.000432,-0.003587,0.000770,-0.003638,-0.006513,-0.001872,0.008556,0.001541
-0.008575,-0.012073,-0.003864,-0.001819,0.001027,0.008217,0.000247,-0.002208,-0.000264,-0.000045,-0.003728,-0.002868,-0.005240,-0.006048,-0.003961,0.008573,0.001823
-0.006477,-0.014433,-0.007500,-0.000863,-0.000754,0.008861,-0.001372,-0.002108,-0.000106,-0.000502,-0.003527,-0.006423,-0.006221,-0.005088,-0.004467,0.006548,0.001807
-0.003930,-0.014436,-0.010064,-0.000912,-0.002125,0.008439,-0.002746,-0.001037,0.000334,-0.000922,-0.003174,-0.008987,-0.007161,-0.003635,-0.002620,0.003862,0.001535
-0.002146,-0.012993,-0.010303,-0.001742,-0.002624,0.007019,-0.003140,0.001265,0.000590,-0.001586,-0.001762,-0.009593,-0.008275,-0.001863,0.000712,0.001777,0.001026
-0.001660,-0.009590,-0.007957,-0.003864,-0.001787,0.006164,-0.002558,0.003777,0.001095,-0.001982,-0.000442,-0.007662,-0.008566,0.000062,0.004224,0.000211,0.000362
-0.002007,-0.005638,-0.004570,-0.006944,0.000412,0.007311,-0.001213,0.006151,0.002205,-0.001367,0.001112,-0.003719,-0.007314,0.002258,0.006737,-0.000840,-0.000138
-0.003009,-0.002113,-0.001751,-0.009450,0.003396,0.009779,0.000166,0.008022,0.003811,0.000121,0.002853,0.001495,-0.004812,0.004246,0.007944,-0.002315,-0.000459
