AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
-0.001705,0.000933,-0.000746,0.003111,0.000252,-0.003740,-0.000430,0.000421,0.000110,0.000426,0.003165,0.002725,0.001485,0.000318,-0.000570,0.002438,-0.002648
-0.002259,0.000866,-0.000921,0.003483,0.000250,-0.005189,-0.000417,-0.000583,0.000096,0.001042,0.004639,0.004119,0.001958,0.000939,-0.000508,0.003520,-0.002819
-0.003000,0.000569,-0.000990,0.002324,0.000191,-0.006945,-0.000786,-0.002483,-0.000077,0.001853,0.005468,0.004832,0.002323,0.001682,-0.000591,0.003512,-0.002334
-0.003863,-0.000123,-0.001322,0.000032,0.000343,-0.007520,-0.001203,-0.004670,-0.000263,0.002718,0.005921,0.004847,0.002277,0.002276,-0.000693,0.003132,-0.001171
-0.004159,-0.000467,-0.000951,-0.002569,0.000622,-0.006424,-0.001397,-0.006188,-0.000233,0.003121,0.005782,0.003500,0.001811,0.002579,-0.000543,0.001629,0.000516
-0.003746,-0.000129,-0.000194,-0.005355,0.001097,-0.003488,-0.001259,-0.006333,-0.000009,0.002824,0.004714,0.000589,0.001123,0.002261,0.000061,0.000284,0.002257
-0.003073,-0.000050,0.000755,-0.007569,0.001580,0.001101,-0.001440,-0.004928,0.000250,0.001752,0.002880,-0.003231,0.000200,0.001085,0.000754,-0.000993,0.003314
-0.002486,-0.000217,0.000925,-0.008828,0.001934,0.004606,-0.001896,-0.002273,0.000368,0.000454,0.000808,-0.007280,-0.000814,-0.000355,0.001853,-0.001375,0.003327
-0.001418,-0.001271,0.000570,-0.008312,0.001979,0.007692,-0.001667,0.001580,0.000692,-0.001044,-0.000801,-0.010880,-0.002102,-0.001767,0.003057,-0.001152,0.002498
0.000131,-0.001655,0.000012,-0.006315,0.001554,0.009660,-0.000448,0.006293,0.001069,-0.002318,-0.001433,-0.011863,-0.003039,-0.002668,0.003673,0.000688,0.001264
0.002065,-0.000995,-0.001158,-0.003079,0.000639,0.009837,0.001013,0.009443,0.001022,-0.002584,-0.002109,-0.010087,-0.003360,-0.002707,0.003820,0.003255,-0.000005
0.003832,0.000589,-0.002522,-0.000537,-0.000772,0.007816,0.002168,0.010221,0.000416,-0.001920,-0.003002,-0.006285,-0.003268,-0.001872,0.003023,0.004833,-0.000620
0.004992,0.002935,-0.004707,0.001093,-0.001856,0.005022,0.002899,0.008644,-0.000654,-0.000410,-0.002085,-0.001130,-0.002834,-0.000591,0.001897,0.005369,-0.000410
0.005849,0.006190,-0.006194,0.002285,-0.002571,0.002365,0.003121,0.005885,-0.001715,0.001309,0.000175,0.004283,-0.001785,0.000803,0.000829,0.003646,0.000628
0.006393,0.010365,-0.007252,0.003000,-0.002526,0.000303,0.002791,0.002785,-0.002515,0.002767,0.002619,0.008451,0.000433,0.001621,-0.000049,0.000856,0.001748
0.006232,0.013055,-0.006603,0.003467,-0.001856,-0.001050,0.001664,-0.000093,-0.002857,0.003373,0.004881,0.010612,0.002611,0.001580,-0.000852,-0.002602,0.002792
0.005076,0.012822,-0.005516,0.003369,-0.000899,-0.002566,-0.000243,-0.002574,-0.002752,0.003112,0.006700,0.010564,0.004028,0.000899,-0.001095,-0.005376,0.003200
0.002839,0.008559,-0.003402,0.003178,0.000122,-0.003803,-0.002325,-0.004185,-0.002049,0.002276,0.006597,0.007866,0.004416,-0.000207,-0.001023,-0.007439,0.002889
0.000289,0.003603,-0.000656,0.002644,0.000982,-0.004623,-0.003582,-0.004094,-0.000829,0.000912,0.004814,0.004876,0.004079,-0.001063,-0.001370,-0.007665,0.001925
-0.002455,-0.001904,0.002137,0.002099,0.001398,-0.004900,-0.003967,-0.003546,0.000423,-0.000900,0.001050,0.001989,0.002957,-0.001445,-0.001684,-0.005713,0.000655
-0.004560,-0.007508,0.004587,0.001307,0.001236,-0.003916,-0.003485,-0.002827,0.001467,-0.003047,-0.004283,-0.000685,0.000702,-0.001286,-0.002049,-0.002342,-0.000325
-0.005510,-0.011934,0.006030,0.000165,0.000970,-0.001761,-0.002401,-0.002128,0.001966,-0.004820,-0.007889,-0.003151,-0.002182,-0.000722,-0.001466,0.001192,-0.001013
-0.005265,-0.015039,0.006633,-0.001266,0.000592,0.001452,-0.001050,-0.001128,0.001787,-0.005975,-0.008956,-0.004704,-0.004146,0.000212,0.000388,0.004137,-0.001319
-0.003823,-0.016118,0.005580,-0.002790,0.000298,0.005192,0.000200,-0.000362,0.001066,-0.006085,-0.007956,-0.005179,-0.003963,0.000991,0.002832,0.005419,-0.001724
-0.001465,-0.015193,0.003960,-0.003301,0.000088,0.007785,0.001326,0.000733,0.000334,-0.005049,-0.005095,-0.005158,-0.002234,0.001516,0.004808,0.005130,-0.001983
0.001411,-0.013010,0.001532,-0.002789,-0.000190,0.008773,0.002476,0.001943,-0.000189,-0.003486,-0.001114,-0.004648,-0.000274,0.001824,0.006158,0.004013,-0.002365
