AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
-0.002530,-0.001959,0.000080,0.001385,0.001827,-0.000075,-0.000064,0.000007,0.000271,-0.000862,0.001696,-0.003304,-0.000423,0.001093,-0.000879,0.000914,0.001593
-0.002222,-0.001599,0.000627,0.001806,0.002784,-0.000709,-0.000164,0.000005,0.000385,-0.001812,0.002706,-0.002987,-0.000606,0.001146,-0.000434,0.001163,0.002040
-0.000656,-0.000081,0.001572,0.001913,0.003412,-0.001886,-0.000149,-0.000027,0.000597,-0.003061,0.003617,-0.001585,-0.000735,0.000735,-0.000040,0.000016,0.002184
0.000058,0.000758,0.002710,0.001623,0.003361,-0.003366,-0.000007,-0.000244,0.000861,-0.004414,0.003762,-0.000082,-0.000428,0.000046,0.000127,-0.000603,0.001603
0.001711,0.003322,0.003835,0.000367,0.002699,-0.003602,0.000123,-0.000372,0.001186,-0.004070,0.003506,0.001192,-0.000047,-0.000236,0.000576,-0.001447,0.000268
0.004829,0.006878,0.004453,-0.000593,0.001550,-0.003168,0.000547,-0.000379,0.001223,-0.001812,0.001826,0.004973,0.000083,-0.001271,0.001397,-0.001763,-0.000223
0.007048,0.009968,0.003811,-0.001785,0.000654,-0.002159,0.001343,-0.000380,0.001073,-0.000118,0.000403,0.008028,0.000062,-0.002015,0.001544,-0.000806,-0.001486
0.006327,0.010286,0.001767,-0.003715,0.000008,-0.001904,0.002179,-0.000525,0.000552,0.000274,-0.000284,0.008633,0.000070,-0.002263,0.001683,-0.000117,-0.002757
0.003095,0.007143,0.000066,-0.006035,-0.000686,-0.001931,0.001206,-0.000340,0.000249,0.001151,-0.002239,0.006530,-0.000255,-0.001922,0.002295,0.000261,-0.004090
0.000142,0.002847,-0.001434,-0.008318,-0.001491,-0.001765,-0.000020,0.000000,0.000327,0.000717,-0.004018,0.003378,-0.001120,-0.001023,0.003466,0.001336,-0.005458
-0.001134,-0.000019,-0.004502,-0.008818,-0.001409,-0.001694,-0.001270,0.000376,0.000527,0.000044,-0.005378,0.000636,-0.001882,-0.000011,0.004974,0.003152,-0.005531
-0.004074,-0.003354,-0.007268,-0.007401,-0.001173,-0.000556,-0.003366,0.000924,0.001505,-0.000711,-0.006425,-0.000182,-0.002077,0.000793,0.006247,0.001647,-0.004562
-0.005880,-0.008398,-0.008869,-0.003160,-0.000784,-0.000069,-0.004990,0.001226,0.003327,-0.004320,-0.007405,-0.002298,-0.001049,0.001976,0.007295,-0.000012,-0.002694
