AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0.004113,-0.009244,0.009143,-0.004005,0.006960,0.008389,0.001816,-0.003446,-0.001440,-0.000939,-0.010289,0.009555,-0.000551,0.000430,-0.000194,0.012589,0.003465
0.003704,-0.009291,0.010208,-0.003956,0.008217,0.009661,0.002493,-0.003255,-0.000781,-0.001570,-0.011711,0.009040,-0.000197,0.000362,0.000001,0.013564,0.003540
0.003458,-0.008646,0.011119,-0.003600,0.009479,0.010790,0.003158,-0.002627,-0.000339,-0.001088,-0.013003,0.008418,-0.000009,0.000297,0.000142,0.013913,0.003455
0.004040,-0.007923,0.011986,-0.003176,0.010440,0.010681,0.004037,-0.002556,-0.000086,-0.000716,-0.014102,0.007841,0.000047,0.000236,0.000312,0.014789,0.003318
0.004665,-0.009448,0.013039,-0.002788,0.011244,0.010523,0.004507,-0.001924,0.000030,-0.000458,-0.015558,0.007162,0.000043,-0.000000,0.000157,0.014225,0.003199
0.005079,-0.010868,0.013895,-0.002351,0.011872,0.009779,0.004908,-0.001046,0.000314,-0.000525,-0.016799,0.006342,0.000041,-0.000143,0.000065,0.013781,0.003096
0.004377,-0.012102,0.012833,-0.002130,0.012252,0.008936,0.004795,-0.000285,0.000973,-0.000783,-0.017782,0.005458,0.000187,-0.000347,0.000013,0.012777,0.002866
0.003045,-0.013111,0.011470,-0.002047,0.012815,0.008010,0.004624,-0.000000,0.001856,-0.000823,-0.016529,0.004834,0.000642,-0.000578,-0.000000,0.011329,0.002743
0.001820,-0.014592,0.010188,-0.001913,0.013243,0.007273,0.005308,0.000227,0.003015,-0.000517,-0.015098,0.004196,0.001261,-0.000833,-0.000059,0.009310,0.002563
0.000914,-0.015822,0.009913,-0.001711,0.013807,0.006811,0.005905,0.001072,0.004315,-0.000292,-0.014421,0.003485,0.002032,-0.001162,-0.000276,0.007298,0.002532
0.000361,-0.015348,0.009444,-0.001142,0.013765,0.007129,0.006314,0.002342,0.005683,-0.000167,-0.013512,0.002613,0.002706,-0.001534,-0.000754,0.004737,0.002435
0.000079,-0.014614,0.008836,-0.000669,0.013893,0.007260,0.006218,0.003928,0.007048,-0.000242,-0.011916,0.001768,0.003527,-0.001903,-0.001322,0.002592,0.002478
-0.000007,-0.015022,0.007645,-0.000922,0.013331,0.006556,0.005556,0.005713,0.008187,-0.000318,-0.009813,0.001510,0.004345,-0.002527,-0.001482,0.001238,0.002483
-0.000510,-0.015715,0.006354,-0.001293,0.013057,0.004967,0.004430,0.007625,0.009275,-0.000219,-0.007683,0.001169,0.005774,-0.002514,-0.001597,0.000304,0.002495
-0.001619,-0.016681,0.004467,-0.002171,0.012560,0.003459,0.001714,0.009777,0.010332,-0.000139,-0.005369,0.000779,0.007187,-0.002357,-0.002335,-0.000002,0.002636
-0.003158,-0.017305,0.002715,-0.003436,0.012004,0.001930,0.000108,0.012378,0.011300,-0.000294,-0.003421,0.000240,0.008067,-0.002283,-0.003087,-0.000571,0.002495
-0.005020,-0.017862,0.001112,-0.005566,0.011609,0.001050,-0.000100,0.014937,0.012126,-0.000476,-0.002278,-0.000052,0.008062,-0.002209,-0.003760,-0.001811,0.002887
-0.007674,-0.019146,0.000416,-0.006733,0.011596,0.000389,-0.000621,0.014444,0.012218,-0.000622,-0.001530,-0.000342,0.007168,-0.002115,-0.004367,-0.003180,0.003505
-0.009545,-0.020905,-0.000016,-0.007798,0.010775,0.000025,-0.001531,0.012841,0.011880,-0.000603,-0.001080,-0.000328,0.007333,-0.001445,-0.005351,-0.002099,0.004762
-0.011512,-0.024844,-0.000492,-0.006638,0.009730,-0.000223,-0.002545,0.012302,0.011671,-0.000441,-0.000980,-0.000542,0.006922,-0.000706,-0.005810,-0.002487,0.005479
-0.013376,-0.027717,-0.001720,-0.005668,0.008396,-0.001379,-0.003357,0.012131,0.011214,-0.000197,-0.000964,-0.000761,0.005122,-0.000287,-0.006610,-0.003068,0.005227
-0.014523,-0.029156,-0.002855,-0.005401,0.007892,-0.001514,-0.003711,0.012919,0.010873,-0.000023,-0.000616,-0.001018,0.002770,-0.000045,-0.006202,-0.002224,0.004970
-0.015285,-0.028899,-0.003953,-0.005857,0.007445,-0.002317,-0.004035,0.013763,0.010793,0.000112,-0.000028,-0.001214,0.001449,0.000009,-0.004731,-0.001502,0.004741
-0.016342,-0.026851,-0.005012,-0.008904,0.007091,-0.002231,-0.003899,0.012797,0.011231,0.000386,0.000536,-0.001212,0.000730,0.000247,-0.003418,-0.001747,0.004556
-0.016540,-0.024224,-0.005297,-0.012959,0.006984,-0.002188,-0.003643,0.012848,0.011733,0.000292,0.002229,-0.001379,0.000256,0.000862,-0.001604,-0.002581,0.004173
-0.016685,-0.021369,-0.004952,-0.015409,0.006901,-0.002215,-0.003409,0.011837,0.012232,0.000026,0.003002,-0.001613,-0.000006,0.001766,-0.000401,-0.003609,0.004142
-0.016384,-0.019254,-0.003859,-0.016525,0.007282,-0.001913,-0.002881,0.010229,0.013315,-0.000000,0.004012,-0.002836,-0.000131,0.002280,0.000007,-0.004517,0.002787
-0.016275,-0.018809,-0.002841,-0.017354,0.008363,-0.001959,-0.002423,0.008526,0.014881,-0.000119,0.005733,-0.005385,-0.000593,0.001914,0.001147,-0.003245,0.001915
-0.015922,-0.018435,-0.002040,-0.017878,0.009767,-0.001908,-0.001778,0.007808,0.016875,-0.000398,0.007063,-0.008182,-0.000740,0.001018,0.004186,-0.001898,0.001165
-0.015102,-0.017235,-0.001362,-0.015956,0.011436,-0.001772,-0.001204,0.008142,0.018890,-0.000214,0.008970,-0.012032,-0.000786,0.000208,0.009810,-0.001173,0.000543
-0.013170,-0.015037,-0.001379,-0.013835,0.012955,-0.002121,-0.000459,0.007969,0.020960,-0.000139,0.009325,-0.016465,-0.001273,0.000002,0.016597,-0.000329,0.000200
-0.012094,-0.014543,-0.001443,-0.012450,0.014376,-0.002540,-0.000093,0.008545,0.023834,-0.000088,0.009622,-0.020352,-0.002677,-0.000284,0.022736,-0.000013,0.000022
