AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
-0.018655,-0.087930,-0.000416,-0.006912,0.008388,-0.013708,0.022313,0.024489,-0.017807,-0.001798,-0.035148,0.005053,-0.012764,-0.017440,0.000021,0.022487,0.017933
-0.016313,-0.087948,-0.000811,0.000139,0.009769,-0.000067,0.028143,0.025916,-0.020709,-0.001519,-0.043374,0.000911,-0.020391,-0.015047,0.000832,0.032033,0.024161
-0.011679,-0.077096,-0.001106,0.007505,0.010693,0.005107,0.029054,0.016531,-0.018378,-0.003770,-0.045435,-0.000007,-0.024960,-0.009159,0.002374,0.034056,0.026376
-0.005291,-0.054989,0.000692,0.018025,0.008782,0.017615,0.025892,0.007598,-0.013430,-0.005998,-0.042651,-0.000699,-0.025330,-0.004231,0.002226,0.028707,0.024592
-0.000447,-0.020269,0.003996,0.027180,0.008499,0.032245,0.019010,0.003412,-0.003382,-0.009431,-0.034361,-0.001305,-0.020989,-0.000471,0.000118,0.014880,0.018588
0.002152,0.001837,0.007622,0.017383,0.006600,0.044942,0.009203,0.000384,0.000895,-0.011211,-0.023191,-0.000002,-0.008455,0.001014,-0.000380,0.003508,0.010106
0.016577,0.013148,0.013255,0.005375,0.004881,0.029463,-0.000000,-0.001883,0.007115,-0.013787,-0.017758,0.002163,-0.002583,0.002931,-0.013224,0.000210,0.001996
0.021221,0.018138,0.017753,-0.000083,0.006046,0.013188,-0.005511,0.000712,0.017401,-0.015750,-0.005265,0.008124,-0.000129,0.001671,-0.017020,0.000261,-0.000092
0.018421,0.023202,0.021200,-0.006190,0.005154,0.000993,-0.007786,0.004741,0.022973,-0.016046,0.001976,0.012001,0.002604,0.000298,-0.020638,0.002872,-0.005815
0.009516,0.023795,0.021034,-0.023790,0.003753,-0.003890,-0.011080,0.014511,0.021781,-0.013969,0.008092,0.007963,0.014090,-0.000446,-0.018815,0.010493,-0.007533
0.003303,0.007169,0.009906,-0.025621,0.001842,-0.000528,-0.008122,0.023683,0.017575,-0.010238,0.014366,0.005940,0.011340,0.000000,-0.015862,0.022821,-0.008284
-0.001644,0.000041,0.001028,-0.017367,0.002013,0.001109,-0.004560,0.021883,0.014155,-0.000934,0.016046,0.008764,0.010095,0.000149,-0.008915,0.029684,-0.008469
-0.009512,-0.003394,-0.003475,-0.005364,0.001649,0.010599,-0.001223,0.014087,0.009016,0.003255,0.013948,0.009102,0.010543,0.000130,-0.003580,0.025207,-0.008963
-0.013929,-0.005984,-0.012314,0.001725,0.002673,0.028761,0.001203,0.007752,0.005467,0.009444,0.009570,0.004658,0.009518,0.000160,0.000123,0.009391,-0.010265
-0.012477,-0.010831,-0.016499,0.009589,0.004461,0.050905,0.007502,0.000154,0.001168,0.016181,0.002715,0.003125,0.016151,-0.000688,0.004911,-0.000374,-0.010456
-0.008064,-0.016588,-0.014234,0.013300,0.007717,0.055428,0.014229,-0.004584,0.000086,0.022551,-0.000507,0.007518,0.025351,-0.003491,0.009320,-0.008063,-0.009095
-0.006619,-0.018002,-0.012348,0.015562,0.011794,0.051837,0.015230,-0.009276,0.003902,0.024064,-0.006464,0.012198,0.034180,-0.005595,0.014772,-0.016377,-0.007706
-0.003435,-0.012433,-0.012095,0.019784,0.012969,0.019703,0.011442,-0.018273,0.010071,0.008808,-0.001734,0.006925,0.038004,-0.006416,0.010305,-0.022192,-0.005936
-0.001458,-0.006933,-0.008890,0.015978,0.011602,0.002100,0.000438,-0.022907,0.014228,0.000443,0.000061,0.000036,0.037101,-0.005088,0.006888,-0.025127,-0.002452
-0.000127,-0.010362,-0.008621,0.010472,0.008711,-0.000126,-0.002733,-0.025780,0.017001,-0.004932,0.000167,-0.000000,0.037357,0.000004,0.006534,-0.017802,-0.000249
-0.001767,-0.019633,-0.001617,0.004535,0.009309,-0.000987,-0.012186,-0.025994,0.021699,-0.008773,-0.000073,0.002306,0.034282,0.004027,0.009688,-0.001216,0.001487
-0.000802,-0.021558,0.000004,0.001091,0.009940,-0.001093,-0.025606,-0.024585,0.025148,-0.008180,-0.000524,0.002652,0.017022,0.009889,0.010226,0.002452,0.004843
0.000630,-0.007229,0.001186,-0.000220,0.011292,-0.009258,-0.031381,-0.007661,0.025951,-0.003098,-0.002940,0.000603,-0.000078,0.015120,0.010241,0.010039,0.004367
0.006467,0.001518,0.007280,-0.004440,0.012968,-0.013143,-0.032531,-0.000460,0.023935,-0.000378,-0.009279,0.000342,-0.006760,0.016295,0.011839,0.017271,0.002523
0.015795,0.008517,0.012620,-0.003634,0.016846,-0.008373,-0.028194,0.002752,0.025968,0.005805,-0.015869,0.007930,-0.017638,0.015489,0.021434,0.028857,0.000910
0.016013,0.017336,0.015150,-0.004676,0.022329,-0.000844,-0.023168,0.012513,0.031019,0.023651,-0.024000,0.017467,-0.019283,0.013458,0.028173,0.027216,0.000095
0.008583,0.023738,0.009341,-0.016758,0.024839,-0.001004,-0.005462,0.026188,0.034824,0.026039,-0.019594,0.012860,-0.011336,0.008576,0.035750,0.027044,-0.000046
0.001981,0.028750,0.009239,-0.035768,0.028605,-0.001060,0.000000,0.035760,0.034800,0.023337,-0.012383,0.004482,-0.004287,0.004487,0.040580,0.017591,0.006469
-0.000167,0.034009,0.002919,-0.058510,0.035667,0.009751,0.003441,0.035431,0.028512,0.007818,-0.001126,0.003087,0.004969,0.008496,0.040890,0.014942,0.026828
-0.007110,0.029617,0.000740,-0.078434,0.043010,0.041776,0.010539,0.031078,0.021660,0.000908,0.001189,0.000560,0.040876,0.026038,0.033826,0.014921,0.057870
-0.003530,0.028477,0.000869,-0.090688,0.052741,0.079205,0.016235,0.023115,0.021775,0.000058,0.011608,-0.000432,0.068394,0.043220,0.011514,0.012539,0.083607
-0.000295,0.019399,-0.000005,-0.089854,0.058856,0.086271,0.019256,0.020816,0.021708,0.000382,0.020285,-0.005849,0.076234,0.041192,0.002893,0.001961,0.096506
0.000604,0.022108,0.002373,-0.076483,0.058122,0.094238,0.019270,0.026111,0.019623,0.000800,0.022576,-0.013437,0.061245,0.031865,-0.001631,-0.000022,0.068088
0.004327,0.003720,0.001639,-0.040740,0.056171,0.097943,0.013712,0.037122,0.020680,0.007182,0.015144,-0.010932,0.055793,0.014171,-0.008269,-0.000513,0.026217
0.009884,0.000096,0.000587,-0.006363,0.053751,0.092004,0.012896,0.045762,0.024331,0.020286,0.005049,-0.006547,0.029299,0.002310,-0.024692,-0.001043,0.001194
0.009006,-0.004439,-0.000003,0.000125,0.048749,0.068619,0.017039,0.051011,0.029627,0.032769,0.001717,-0.005115,0.022534,-0.004235,-0.024814,-0.000051,-0.016321
0.002516,-0.023826,0.000532,0.011838,0.045159,0.040637,0.018590,0.043806,0.032551,0.041964,0.000028,-0.002426,0.003357,-0.033848,-0.014707,-0.000492,-0.061495
-0.000615,-0.046358,-0.000002,0.023838,0.043880,0.029586,0.015187,0.032533,0.028709,0.030237,0.000750,-0.006623,0.000640,-0.055915,-0.000934,-0.001084,-0.081051
-0.013828,-0.059522,-0.002798,0.026344,0.035931,0.006854,0.018170,0.021390,0.022991,0.014914,0.008975,-0.008556,0.001164,-0.050773,0.001734,-0.002486,-0.073191
-0.023325,-0.052149,-0.007195,0.020737,0.032606,-0.001161,0.019136,0.008325,0.021875,0.005258,0.021504,-0.010875,0.001343,-0.040668,0.001838,-0.004117,-0.054159
-0.030430,-0.039693,-0.020953,0.002912,0.028620,-0.011222,0.017283,-0.000042,0.021608,0.000348,0.029570,-0.005418,0.001788,-0.032881,0.009172,-0.019971,-0.032669
-0.033374,-0.023905,-0.019703,-0.003998,0.025574,-0.008515,0.010128,0.001551,0.019123,-0.000997,0.027357,-0.002055,-0.001052,-0.019102,0.004788,-0.037088,-0.017982
